user_id,issue_id,role
10058,50068,supports
10058,50118,supports
10059,50129,supports
10060,50158,supports
10060,50130,supports
10060,50086,supports
10061,50160,supports
10062,50033,supports
10063,50012,supports
10063,50052,supports
10063,50101,supports
10063,50047,supports
10064,50140,supports
10065,50170,supports
10065,50113,supports
10066,50059,supports
10066,50048,supports
10066,50053,supports
10068,50132,supports
10068,50172,supports
10068,50131,supports
10070,50172,supports
10070,50173,supports
10070,50121,supports
10070,50073,supports
10071,50059,supports
10071,50074,supports
10072,50106,supports
10072,50078,supports
10072,50113,supports
10075,50000,supports
10075,50100,supports
10075,50047,supports
10075,50108,supports
10077,50127,supports
10078,50064,supports
10078,50150,supports
10079,50155,supports
10079,50062,supports
10079,50070,supports
10080,50024,supports
10082,50052,supports
10082,50112,supports
10083,50092,supports
10085,50156,supports
10085,50178,supports
10087,50170,supports
10087,50191,supports
10087,50019,supports
10087,50064,supports
10088,50068,supports
10088,50115,supports
10089,50124,supports
10090,50081,supports
10090,50165,supports
10090,50135,supports
10091,50182,supports
10094,50003,supports
10094,50107,supports
10094,50123,supports
10094,50142,supports
10095,50131,supports
10095,50063,supports
10095,50065,supports
10097,50153,supports
10097,50021,supports
10098,50045,supports
10098,50031,supports
10098,50071,supports
10098,50025,supports
10099,50157,supports
10099,50054,supports
10100,50013,supports
10100,50071,supports
10100,50095,supports
10101,50148,supports
10102,50060,supports
10102,50186,supports
10104,50111,supports
10104,50082,supports
10104,50106,supports
10104,50006,supports
10105,50054,supports
10105,50024,supports
10106,50051,supports
10106,50143,supports
10106,50107,supports
10106,50128,supports
10109,50100,supports
10109,50161,supports
10109,50170,supports
10109,50107,supports
10110,50169,supports
10110,50066,supports
10112,50095,supports
10112,50050,supports
10113,50024,supports
10113,50129,supports
10115,50144,supports
10115,50166,supports
10115,50173,supports
10115,50192,supports
10116,50160,supports
10117,50079,supports
10117,50081,supports
10117,50182,supports
10118,50014,supports
10120,50090,supports
10120,50045,supports
10120,50129,supports
10121,50111,supports
10121,50003,supports
10121,50067,supports
10121,50013,supports
10122,50063,supports
10122,50129,supports
10122,50114,supports
10122,50002,supports
10123,50122,supports
10124,50000,supports
10124,50196,supports
10124,50118,supports
10125,50158,supports
10126,50018,supports
10126,50073,supports
10127,50108,supports
10127,50065,supports
10128,50085,supports
10128,50072,supports
10128,50003,supports
10128,50100,supports
10129,50017,supports
10129,50185,supports
10130,50013,supports
10130,50103,supports
10130,50178,supports
10131,50129,supports
10131,50077,supports
10131,50009,supports
10131,50185,supports
10133,50196,supports
10134,50075,supports
10134,50175,supports
10134,50064,supports
10135,50197,supports
10135,50077,supports
10135,50020,supports
10135,50102,supports
10136,50094,supports
10137,50110,supports
10138,50086,supports
10138,50119,supports
10138,50052,supports
10138,50160,supports
10139,50158,supports
10140,50192,supports
10140,50125,supports
10141,50067,supports
10141,50083,supports
10141,50193,supports
10141,50045,supports
10144,50157,supports
10144,50142,supports
10144,50153,supports
10144,50065,supports
10145,50091,supports
10145,50071,supports
10145,50031,supports
10146,50032,supports
10147,50095,supports
10147,50099,supports
10149,50156,supports
10149,50036,supports
10151,50139,supports
10151,50063,supports
10151,50016,supports
10153,50062,supports
10153,50064,supports
10153,50144,supports
10153,50133,supports
10156,50093,supports
10156,50048,supports
10157,50063,supports
10157,50059,supports
10158,50173,supports
10158,50082,supports
10159,50101,supports
10159,50142,supports
10159,50096,supports
10159,50078,supports
10160,50147,supports
10160,50125,supports
10160,50089,supports
10160,50122,supports
10161,50171,supports
10161,50000,supports
10162,50114,supports
10163,50069,supports
10163,50059,supports
10165,50164,supports
10165,50091,supports
10166,50166,supports
10166,50131,supports
10166,50060,supports
10168,50047,supports
10168,50045,supports
10168,50013,supports
10169,50058,supports
10170,50139,supports
10170,50110,supports
10171,50141,supports
10173,50100,supports
10173,50050,supports
10173,50179,supports
10174,50021,supports
10174,50049,supports
10175,50075,supports
10175,50005,supports
10175,50031,supports
10175,50055,supports
10176,50138,supports
10176,50042,supports
10176,50123,supports
10177,50037,supports
10177,50166,supports
10177,50170,supports
10178,50019,supports
10179,50138,supports
10181,50126,supports
10181,50070,supports
10182,50055,supports
10182,50192,supports
10183,50056,supports
10183,50162,supports
10183,50093,supports
10183,50052,supports
10184,50199,supports
10184,50123,supports
10184,50166,supports
10185,50084,supports
10185,50180,supports
10185,50153,supports
10186,50154,supports
10186,50189,supports
10188,50182,supports
10188,50148,supports
10188,50154,supports
10190,50106,supports
10190,50004,supports
10190,50148,supports
10190,50118,supports
10192,50123,supports
10193,50041,supports
10193,50047,supports
10193,50163,supports
10194,50113,supports
10194,50072,supports
10195,50001,supports
10195,50197,supports
10195,50174,supports
10195,50090,supports
10196,50052,supports
10196,50003,supports
10196,50005,supports
10196,50097,supports
10197,50183,supports
10197,50000,supports
10197,50038,supports
10198,50040,supports
10198,50100,supports
10198,50114,supports
10198,50184,supports
10199,50051,supports
10199,50089,supports
10199,50197,supports
10199,50030,supports
10200,50107,supports
10200,50156,supports
10201,50098,supports
10201,50092,supports
10202,50143,supports
10202,50123,supports
10202,50104,supports
10202,50180,supports
10203,50086,supports
10204,50164,supports
10205,50036,supports
10207,50108,supports
10207,50110,supports
10207,50122,supports
10207,50098,supports
10208,50006,supports
10208,50020,supports
10208,50182,supports
10209,50046,supports
10209,50027,supports
10211,50197,supports
10211,50181,supports
10211,50095,supports
10211,50095,supports
10212,50198,supports
10213,50190,supports
10213,50170,supports
10213,50152,supports
10213,50136,supports
10214,50052,supports
10215,50119,supports
10216,50164,supports
10216,50104,supports
10216,50011,supports
10217,50178,supports
10217,50119,supports
10217,50108,supports
10217,50164,supports
10218,50097,supports
10218,50107,supports
10219,50160,supports
10219,50077,supports
10219,50052,supports
10219,50007,supports
10220,50193,supports
10220,50030,supports
10221,50134,supports
10221,50038,supports
10221,50136,supports
10222,50058,supports
10222,50117,supports
10224,50193,supports
10224,50138,supports
10224,50024,supports
10225,50071,supports
10225,50176,supports
10225,50120,supports
10226,50071,supports
10226,50181,supports
10226,50145,supports
10226,50092,supports
10227,50167,supports
10227,50178,supports
10227,50079,supports
10227,50092,supports
10228,50161,supports
10229,50017,supports
10230,50140,supports
10230,50148,supports
10231,50068,supports
10231,50140,supports
10231,50084,supports
10232,50090,supports
10232,50023,supports
10232,50162,supports
10232,50176,supports
10235,50043,supports
10235,50015,supports
10236,50032,supports
10236,50171,supports
10236,50006,supports
10236,50082,supports
10237,50046,supports
10237,50176,supports
10237,50104,supports
10238,50139,supports
10238,50138,supports
10238,50180,supports
10238,50127,supports
10239,50111,supports
10239,50046,supports
10239,50097,supports
10242,50065,supports
10242,50044,supports
10242,50010,supports
10243,50005,supports
10243,50060,supports
10243,50071,supports
10244,50144,supports
10245,50134,supports
10246,50175,supports
10248,50188,supports
10248,50086,supports
10248,50008,supports
10248,50123,supports
10250,50012,supports
10250,50084,supports
10250,50082,supports
10251,50023,supports
10251,50025,supports
10252,50015,supports
10252,50012,supports
10252,50010,supports
10253,50127,supports
10253,50121,supports
10254,50189,supports
10254,50048,supports
10255,50079,supports
10255,50164,supports
10255,50092,supports
10256,50049,supports
10256,50197,supports
10256,50115,supports
10256,50122,supports
10257,50035,supports
10257,50044,supports
10258,50002,supports
10258,50158,supports
10258,50096,supports
10258,50194,supports
10259,50010,supports
10259,50082,supports
10259,50148,supports
10260,50145,supports
10260,50025,supports
10260,50038,supports
10261,50073,supports
10261,50165,supports
10262,50185,supports
10262,50070,supports
10263,50068,supports
10264,50151,supports
10264,50172,supports
10265,50192,supports
10267,50090,supports
10267,50005,supports
10268,50198,supports
10270,50003,supports
10270,50181,supports
10270,50110,supports
10270,50110,supports
10271,50099,supports
10271,50106,supports
10272,50019,supports
10272,50145,supports
10272,50153,supports
10273,50127,supports
10273,50108,supports
10273,50077,supports
10273,50086,supports
10274,50054,supports
10274,50129,supports
10274,50001,supports
10274,50109,supports
10276,50144,supports
10276,50106,supports
10277,50105,supports
10278,50009,supports
10279,50083,supports
10280,50042,supports
10280,50187,supports
10280,50004,supports
10282,50065,supports
10282,50018,supports
10282,50069,supports
10284,50162,supports
10284,50178,supports
10284,50014,supports
10285,50188,supports
10286,50073,supports
10286,50080,supports
10287,50083,supports
10287,50128,supports
10287,50148,supports
10287,50155,supports
10288,50000,supports
10288,50025,supports
10288,50004,supports
10288,50019,supports
10289,50110,supports
10289,50162,supports
10289,50052,supports
10289,50095,supports
10290,50140,supports
10290,50091,supports
10291,50092,supports
10291,50093,supports
10291,50046,supports
10292,50190,supports
10292,50188,supports
10293,50029,supports
10293,50104,supports
10293,50117,supports
10294,50054,supports
10295,50084,supports
10295,50055,supports
10296,50051,supports
10297,50185,supports
10297,50073,supports
10297,50022,supports
10298,50119,supports
10298,50128,supports
10298,50091,supports
10298,50100,supports
10299,50019,supports
10299,50114,supports
10299,50052,supports
10300,50027,supports
10301,50099,supports
10301,50045,supports
10301,50084,supports
10301,50011,supports
10302,50093,supports
10302,50096,supports
10302,50149,supports
10303,50054,supports
10303,50027,supports
10303,50087,supports
10304,50010,supports
10305,50040,supports
10305,50184,supports
10306,50120,supports
10306,50004,supports
10306,50017,supports
10306,50191,supports
10307,50167,supports
10307,50109,supports
10308,50148,supports
10308,50154,supports
10308,50175,supports
10308,50121,supports
10310,50195,supports
10311,50111,supports
10311,50168,supports
10311,50021,supports
10311,50107,supports
10312,50026,supports
10312,50031,supports
10313,50196,supports
10314,50179,supports
10314,50113,supports
10314,50152,supports
10314,50192,supports
10315,50173,supports
10316,50118,supports
10316,50170,supports
10317,50176,supports
10318,50026,supports
10318,50127,supports
10319,50191,supports
10320,50080,supports
10320,50162,supports
10320,50082,supports
10320,50120,supports
10322,50064,supports
10322,50110,supports
10323,50150,supports
10323,50153,supports
10325,50086,supports
10325,50069,supports
10325,50158,supports
10326,50162,supports
10326,50142,supports
10326,50050,supports
10327,50122,supports
10328,50127,supports
10328,50055,supports
10329,50152,supports
10329,50179,supports
10331,50126,supports
10331,50034,supports
10331,50162,supports
10331,50183,supports
10332,50038,supports
10332,50170,supports
10333,50103,supports
10333,50002,supports
10333,50144,supports
10335,50060,supports
10335,50183,supports
10335,50121,supports
10335,50163,supports
10337,50086,supports
10337,50050,supports
10337,50095,supports
10338,50046,supports
10338,50190,supports
10338,50010,supports
10339,50049,supports
10340,50066,supports
10340,50145,supports
10340,50018,supports
10341,50003,supports
10341,50061,supports
10342,50046,supports
10342,50058,supports
10343,50138,supports
10343,50113,supports
10343,50030,supports
10345,50117,supports
10345,50189,supports
10345,50029,supports
10345,50000,supports
10346,50009,supports
10347,50072,supports
10347,50048,supports
10347,50145,supports
10347,50093,supports
10348,50019,supports
10348,50013,supports
10348,50098,supports
10348,50163,supports
10349,50078,supports
10349,50095,supports
10350,50073,supports
10350,50119,supports
10350,50048,supports
10350,50079,supports
10353,50191,supports
10355,50140,supports
10356,50002,supports
10356,50006,supports
10356,50135,supports
10357,50087,supports
10358,50121,supports
10358,50077,supports
10358,50154,supports
10359,50057,supports
10359,50056,supports
10360,50099,supports
10360,50000,supports
10360,50076,supports
10361,50092,supports
10361,50194,supports
10361,50007,supports
10361,50043,supports
10362,50097,supports
10363,50092,supports
10364,50187,supports
10364,50089,supports
10366,50045,supports
10366,50081,supports
10366,50086,supports
10366,50035,supports
10367,50029,supports
10367,50171,supports
10367,50165,supports
10368,50111,supports
10368,50009,supports
10368,50034,supports
10368,50087,supports
10370,50014,supports
10370,50016,supports
10372,50195,supports
10372,50075,supports
10372,50151,supports
10372,50022,supports
10374,50073,supports
10374,50051,supports
10375,50137,supports
10375,50183,supports
10375,50130,supports
10377,50102,supports
10377,50188,supports
10379,50021,supports
10379,50083,supports
10379,50028,supports
10379,50090,supports
10380,50110,supports
10380,50072,supports
10380,50177,supports
10381,50199,supports
10381,50085,supports
10384,50174,supports
10384,50069,supports
10384,50014,supports
10384,50001,supports
10385,50114,supports
10385,50102,supports
10385,50127,supports
10386,50167,supports
10386,50055,supports
10386,50062,supports
10388,50049,supports
10388,50162,supports
10388,50048,supports
10388,50179,supports
10389,50159,supports
10390,50047,supports
10390,50151,supports
10390,50062,supports
10391,50126,supports
10394,50133,supports
10395,50165,supports
10396,50039,supports
10397,50060,supports
10398,50075,supports
10398,50045,supports
10401,50090,supports
10402,50049,supports
10403,50166,supports
10403,50114,supports
10403,50078,supports
10404,50123,supports
10406,50061,supports
10407,50011,supports
10407,50058,supports
10407,50090,supports
10407,50026,supports
10408,50192,supports
10408,50113,supports
10410,50074,supports
10410,50159,supports
10410,50035,supports
10411,50162,supports
10412,50194,supports
10412,50058,supports
10412,50080,supports
10412,50098,supports
10413,50096,supports
10414,50069,supports
10415,50088,supports
10415,50058,supports
10415,50185,supports
10415,50020,supports
10416,50199,supports
10416,50150,supports
10416,50107,supports
10416,50136,supports
10417,50087,supports
10417,50171,supports
10418,50013,supports
10418,50102,supports
10418,50077,supports
10419,50098,supports
10419,50087,supports
10421,50129,supports
10421,50180,supports
10421,50153,supports
10424,50055,supports
10424,50126,supports
10425,50077,supports
10425,50112,supports
10426,50012,supports
10426,50119,supports
10428,50118,supports
10428,50050,supports
10429,50081,supports
10429,50018,supports
10430,50163,supports
10430,50184,supports
10432,50173,supports
10432,50067,supports
10432,50163,supports
10433,50116,supports
10434,50085,supports
10435,50126,supports
10435,50196,supports
10436,50056,supports
10436,50026,supports
10437,50041,supports
10437,50112,supports
10442,50136,supports
10443,50123,supports
10443,50140,supports
10443,50099,supports
10443,50058,supports
10444,50056,supports
10444,50074,supports
10446,50167,supports
10446,50126,supports
10447,50167,supports
10447,50181,supports
10447,50198,supports
10448,50168,supports
10448,50155,supports
10448,50031,supports
10449,50148,supports
10449,50161,supports
10449,50057,supports
10450,50146,supports
10450,50022,supports
10451,50099,supports
10451,50171,supports
10452,50178,supports
10453,50022,supports
10453,50121,supports
10454,50134,supports
10454,50196,supports
10454,50028,supports
10455,50056,supports
10455,50044,supports
10455,50191,supports
10456,50157,supports
10456,50039,supports
10456,50190,supports
10456,50057,supports
10458,50113,supports
10458,50163,supports
10459,50047,supports
10461,50003,supports
10462,50183,supports
10462,50109,supports
10462,50147,supports
10463,50047,supports
10463,50044,supports
10463,50015,supports
10463,50000,supports
10465,50176,supports
10465,50088,supports
10466,50025,supports
10468,50010,supports
10469,50174,supports
10470,50061,supports
10471,50066,supports
10471,50048,supports
10471,50166,supports
10473,50059,supports
10473,50107,supports
10474,50086,supports
10475,50081,supports
10475,50014,supports
10476,50035,supports
10476,50119,supports
10476,50014,supports
10476,50019,supports
10477,50183,supports
10478,50146,supports
10478,50199,supports
10478,50114,supports
10479,50064,supports
10481,50105,supports
10481,50092,supports
10481,50027,supports
10482,50046,supports
10483,50083,supports
10483,50012,supports
10483,50110,supports
10484,50028,supports
10485,50007,supports
10486,50114,supports
10486,50185,supports
10486,50158,supports
10487,50162,supports
10487,50174,supports
10487,50070,supports
10489,50158,supports
10489,50147,supports
10490,50054,supports
10492,50160,supports
10493,50185,supports
10493,50032,supports
10494,50115,supports
10494,50086,supports
10494,50137,supports
10494,50147,supports
10496,50051,supports
10496,50023,supports
10496,50138,supports
10496,50179,supports
10497,50086,supports
10497,50088,supports
10498,50132,supports
10498,50130,supports
10499,50197,supports
10499,50013,supports
10499,50059,supports
10499,50172,supports
10500,50195,supports
10501,50127,supports
10501,50114,supports
10503,50135,supports
10503,50033,supports
10503,50186,supports
10504,50006,supports
10504,50025,supports
10504,50046,supports
10504,50169,supports
10505,50163,supports
10505,50030,supports
10505,50119,supports
10505,50083,supports
10506,50106,supports
10506,50038,supports
10506,50180,supports
10508,50069,supports
10508,50041,supports
10508,50114,supports
10509,50062,supports
10509,50115,supports
10509,50143,supports
10510,50099,supports
10511,50030,supports
10511,50082,supports
10511,50180,supports
10511,50133,supports
10512,50154,supports
10512,50153,supports
10512,50194,supports
10512,50125,supports
10514,50094,supports
10514,50065,supports
10515,50088,supports
10515,50174,supports
10515,50047,supports
10515,50079,supports
10517,50103,supports
10517,50077,supports
10517,50125,supports
10518,50138,supports
10518,50047,supports
10518,50188,supports
10518,50142,supports
10519,50008,supports
10519,50030,supports
10519,50095,supports
10519,50155,supports
10520,50007,supports
10521,50017,supports
10522,50100,supports
10522,50148,supports
10522,50083,supports
10523,50026,supports
10524,50148,supports
10524,50136,supports
10525,50057,supports
10525,50130,supports
10526,50100,supports
10526,50103,supports
10526,50169,supports
10526,50079,supports
10528,50103,supports
10529,50098,supports
10530,50105,supports
10530,50048,supports
10530,50010,supports
10531,50072,supports
10531,50122,supports
10532,50182,supports
10532,50104,supports
10533,50165,supports
10534,50001,supports
10535,50104,supports
10535,50193,supports
10535,50144,supports
10535,50071,supports
10536,50141,supports
10536,50176,supports
10536,50006,supports
10536,50130,supports
10537,50057,supports
10537,50159,supports
10537,50008,supports
10538,50131,supports
10539,50088,supports
10540,50076,supports
10540,50167,supports
10540,50079,supports
10540,50189,supports
10541,50065,supports
10541,50034,supports
10542,50152,supports
10542,50019,supports
10543,50082,supports
10543,50094,supports
10543,50172,supports
10543,50011,supports
10545,50124,supports
10545,50097,supports
10545,50074,supports
10545,50141,supports
10546,50141,supports
10546,50033,supports
10547,50039,supports
10547,50097,supports
10548,50173,supports
10548,50035,supports
10550,50189,supports
10550,50012,supports
10550,50182,supports
10553,50175,supports
10554,50044,supports
10556,50191,supports
10556,50172,supports
10557,50042,supports
10557,50069,supports
10558,50002,supports
10558,50002,supports
10558,50171,supports
10559,50189,supports
10560,50170,supports
10561,50135,supports
10561,50147,supports
10561,50029,supports
10561,50064,supports
10562,50172,supports
10564,50071,supports
10565,50042,supports
10565,50132,supports
10565,50008,supports
10565,50062,supports
10566,50004,supports
10566,50123,supports
10566,50118,supports
10566,50096,supports
10567,50094,supports
10567,50186,supports
10567,50117,supports
10568,50162,supports
10568,50087,supports
10570,50105,supports
10570,50046,supports
10570,50032,supports
10570,50040,supports
10571,50012,supports
10571,50099,supports
10571,50147,supports
10571,50140,supports
10572,50161,supports
10572,50116,supports
10572,50035,supports
10572,50101,supports
10574,50109,supports
10574,50017,supports
10575,50041,supports
10575,50068,supports
10575,50176,supports
10575,50025,supports
10578,50087,supports
10578,50131,supports
10578,50028,supports
10579,50024,supports
10579,50110,supports
10580,50138,supports
10580,50164,supports
10584,50179,supports
10584,50193,supports
10585,50058,supports
10586,50039,supports
10587,50047,supports
10587,50153,supports
10588,50021,supports
10588,50027,supports
10588,50119,supports
10589,50123,supports
10589,50037,supports
10589,50095,supports
10589,50017,supports
10590,50041,supports
10591,50199,supports
10592,50015,supports
10592,50001,supports
10592,50176,supports
10593,50092,supports
10595,50168,supports
10595,50190,supports
10595,50134,supports
10595,50122,supports
10596,50195,supports
10597,50081,supports
10597,50021,supports
10598,50045,supports
10599,50169,supports
10600,50175,supports
10600,50175,supports
10601,50004,supports
10601,50194,supports
10601,50121,supports
10602,50109,supports
10602,50054,supports
10602,50151,supports
10603,50068,supports
10603,50152,supports
10603,50158,supports
10604,50123,supports
10606,50102,supports
10606,50160,supports
10606,50054,supports
10606,50034,supports
10607,50132,supports
10607,50106,supports
10607,50089,supports
10608,50002,supports
10608,50182,supports
10608,50185,supports
10609,50062,supports
10609,50158,supports
10609,50048,supports
10610,50168,supports
10610,50145,supports
10611,50112,supports
10611,50104,supports
10612,50004,supports
10612,50136,supports
10612,50148,supports
10612,50056,supports
10613,50059,supports
10614,50052,supports
10614,50097,supports
10614,50175,supports
10614,50012,supports
10615,50142,supports
10616,50083,supports
10619,50109,supports
10620,50177,supports
10621,50043,supports
10621,50043,supports
10621,50111,supports
10621,50029,supports
10623,50094,supports
10624,50100,supports
10624,50145,supports
10625,50058,supports
10626,50151,supports
10626,50192,supports
10627,50002,supports
10627,50086,supports
10627,50162,supports
10627,50079,supports
10628,50124,supports
10628,50025,supports
10629,50117,supports
10629,50157,supports
10629,50160,supports
10629,50010,supports
10632,50065,supports
10632,50175,supports
10632,50149,supports
10632,50114,supports
10634,50112,supports
10635,50153,supports
10635,50122,supports
10636,50079,supports
10636,50172,supports
10636,50155,supports
10637,50194,supports
10638,50038,supports
10638,50075,supports
10638,50104,supports
10639,50114,supports
10640,50150,supports
10640,50161,supports
10641,50199,supports
10641,50177,supports
10642,50039,supports
10643,50087,supports
10643,50197,supports
10643,50137,supports
10644,50052,supports
10645,50109,supports
10645,50122,supports
10645,50123,supports
10645,50112,supports
10646,50097,supports
10646,50110,supports
10646,50051,supports
10647,50055,supports
10647,50134,supports
10647,50121,supports
10647,50196,supports
10648,50175,supports
10648,50127,supports
10649,50132,supports
10651,50195,supports
10651,50016,supports
10652,50064,supports
10652,50046,supports
10652,50040,supports
10652,50031,supports
10653,50013,supports
10653,50165,supports
10653,50057,supports
10653,50118,supports
10654,50112,supports
10654,50055,supports
10654,50018,supports
10654,50119,supports
10655,50146,supports
10655,50160,supports
10655,50079,supports
10655,50015,supports
10656,50154,supports
10656,50048,supports
10656,50077,supports
10656,50060,supports
10658,50070,supports
10658,50072,supports
10659,50017,supports
10659,50032,supports
10659,50028,supports
10660,50157,supports
10660,50088,supports
10661,50062,supports
10661,50024,supports
10661,50011,supports
10662,50078,supports
10663,50035,supports
10663,50172,supports
10664,50129,supports
10664,50010,supports
10664,50090,supports
10664,50045,supports
10665,50012,supports
10665,50072,supports
10665,50113,supports
10665,50099,supports
10667,50034,supports
10667,50126,supports
10669,50184,supports
10669,50146,supports
10670,50123,supports
10670,50143,supports
10670,50134,supports
10670,50040,supports
10671,50019,supports
10671,50010,supports
10671,50138,supports
10671,50008,supports
10672,50122,supports
10672,50116,supports
10673,50126,supports
10674,50108,supports
10674,50055,supports
10674,50090,supports
10677,50040,supports
10677,50015,supports
10677,50032,supports
10678,50046,supports
10679,50142,supports
10679,50013,supports
10679,50068,supports
10680,50043,supports
10681,50084,supports
10682,50016,supports
10682,50176,supports
10682,50136,supports
10683,50024,supports
10685,50086,supports
10686,50139,supports
10687,50194,supports
10687,50186,supports
10689,50198,supports
10689,50059,supports
10689,50198,supports
10690,50163,supports
10690,50164,supports
10690,50081,supports
10690,50096,supports
10691,50084,supports
10692,50154,supports
10692,50150,supports
10693,50101,supports
10693,50067,supports
10694,50087,supports
10695,50092,supports
10695,50032,supports
10696,50153,supports
10696,50191,supports
10697,50050,supports
10697,50143,supports
10697,50044,supports
10697,50049,supports
10698,50083,supports
10698,50016,supports
10698,50033,supports
10699,50090,supports
10701,50011,supports
10702,50133,supports
10702,50019,supports
10702,50111,supports
10703,50075,supports
10703,50045,supports
10704,50178,supports
10704,50078,supports
10705,50014,supports
10706,50144,supports
10706,50047,supports
10706,50049,supports
10706,50192,supports
10708,50084,supports
10708,50101,supports
10709,50169,supports
10709,50111,supports
10709,50170,supports
10709,50135,supports
10710,50083,supports
10710,50125,supports
10711,50035,supports
10713,50141,supports
10713,50171,supports
10713,50056,supports
10716,50093,supports
10716,50006,supports
10716,50000,supports
10717,50057,supports
10719,50002,supports
10720,50042,supports
10720,50188,supports
10720,50187,supports
10720,50170,supports
10721,50188,supports
10721,50023,supports
10722,50066,supports
10722,50178,supports
10723,50134,supports
10723,50159,supports
10723,50159,supports
10723,50131,supports
10725,50039,supports
10726,50051,supports
10726,50029,supports
10726,50160,supports
10727,50033,supports
10727,50171,supports
10727,50049,supports
10730,50186,supports
10730,50060,supports
10730,50177,supports
10730,50125,supports
10731,50031,supports
10731,50050,supports
10731,50015,supports
10732,50144,supports
10732,50053,supports
10733,50161,supports
10733,50150,supports
10733,50055,supports
10734,50166,supports
10734,50180,supports
10735,50020,supports
10735,50062,supports
10735,50093,supports
10735,50041,supports
10736,50129,supports
10736,50157,supports
10736,50094,supports
10736,50157,supports
10738,50081,supports
10739,50180,supports
10740,50043,supports
10741,50096,supports
10741,50144,supports
10741,50173,supports
10742,50016,supports
10743,50021,supports
10743,50162,supports
10743,50021,supports
10743,50182,supports
10744,50029,supports
10744,50081,supports
10744,50159,supports
10744,50071,supports
10745,50065,supports
10745,50142,supports
10746,50051,supports
10746,50013,supports
10746,50137,supports
10746,50099,supports
10749,50119,supports
10749,50023,supports
10751,50177,supports
10753,50002,supports
10753,50044,supports
10753,50018,supports
10753,50067,supports
10754,50007,supports
10754,50001,supports
10754,50025,supports
10755,50024,supports
10755,50125,supports
10755,50188,supports
10756,50103,supports
10757,50162,supports
10757,50099,supports
10758,50144,supports
10758,50145,supports
10758,50156,supports
10759,50004,supports
10759,50098,supports
10760,50026,supports
10760,50085,supports
10760,50071,supports
10760,50150,supports
10761,50085,supports
10761,50191,supports
10761,50170,supports
10761,50039,supports
10762,50013,supports
10762,50057,supports
10762,50167,supports
10762,50017,supports
10764,50046,supports
10765,50026,supports
10765,50086,supports
10765,50134,supports
10765,50140,supports
10766,50120,supports
10766,50126,supports
10766,50079,supports
10766,50164,supports
10767,50085,supports
10767,50010,supports
10767,50065,supports
10767,50002,supports
10768,50012,supports
10769,50034,supports
10770,50047,supports
10770,50074,supports
10771,50074,supports
10771,50173,supports
10773,50116,supports
10773,50197,supports
10774,50004,supports
10775,50009,supports
10775,50023,supports
10775,50136,supports
10776,50049,supports
10776,50111,supports
10776,50077,supports
10776,50117,supports
10777,50168,supports
10777,50118,supports
10777,50177,supports
10777,50190,supports
10778,50176,supports
10778,50093,supports
10778,50095,supports
10779,50181,supports
10780,50044,supports
10781,50109,supports
10781,50104,supports
10781,50039,supports
10782,50195,supports
10782,50102,supports
10783,50198,supports
10783,50160,supports
10785,50112,supports
10785,50072,supports
10785,50009,supports
10785,50021,supports
10786,50110,supports
10786,50016,supports
10787,50052,supports
10788,50168,supports
10789,50135,supports
10789,50060,supports
10789,50102,supports
10789,50064,supports
10793,50143,supports
